,n_commits
2021-08-01,32
2021-09-01,22
2021-10-01,33
2021-11-01,2
2021-12-01,10
2022-01-01,98
2022-02-01,33
2022-03-01,17
2022-04-01,5
2022-05-01,3
2022-06-01,8
2022-07-01,18
2022-08-01,7
2022-09-01,1
2022-10-01,5
2022-11-01,3
2022-12-01,0
2023-01-01,7
2023-02-01,2
2023-03-01,4
2023-04-01,3
2023-05-01,3
2023-06-01,18
2023-07-01,9
2023-08-01,9
2023-09-01,1
2023-10-01,5
2023-11-01,1
2023-12-01,1
2024-01-01,10
2024-02-01,16
2024-03-01,2
2024-04-01,4
2024-05-01,3
2024-06-01,3
2024-07-01,2
2024-08-01,0
2024-09-01,0
2024-10-01,3
2024-11-01,0
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,0
2025-05-01,2
