,n_commits
2014-07-01,1.0
2014-08-01,75.0
2014-09-01,20.0
2014-10-01,15.0
2014-11-01,3.0
2014-12-01,10.0
2015-01-01,41.0
2015-02-01,36.0
2015-03-01,3.0
2015-04-01,30.0
2015-05-01,16.0
2015-06-01,28.0
2015-07-01,38.0
2015-08-01,0.0
2015-09-01,16.0
2015-10-01,24.0
2015-11-01,46.0
2015-12-01,12.0
2016-01-01,27.0
2016-02-01,42.0
2016-03-01,11.0
2016-04-01,27.0
2016-05-01,9.0
2016-06-01,4.0
2016-07-01,2.0
2016-08-01,18.0
2016-09-01,7.0
2016-10-01,15.0
2016-11-01,15.0
2016-12-01,3.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,8.0
2017-04-01,6.0
2017-05-01,12.0
2017-06-01,12.0
2017-07-01,44.0
2017-08-01,22.0
2017-09-01,16.0
2017-10-01,26.0
2017-11-01,39.0
2017-12-01,22.0
2018-01-01,22.0
2018-02-01,17.0
2018-03-01,17.0
2018-04-01,11.0
2018-05-01,24.0
2018-06-01,10.0
2018-07-01,5.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,8.0
2018-11-01,35.0
2018-12-01,11.0
2019-01-01,9.0
2019-02-01,1.0
2019-03-01,25.0
2019-04-01,47.0
2019-05-01,25.0
2019-06-01,20.0
2019-07-01,1.0
2019-08-01,12.0
2019-09-01,15.0
2019-10-01,12.0
2019-11-01,3.0
2019-12-01,8.0
2020-01-01,28.0
2020-02-01,9.0
2020-03-01,3.0
2020-04-01,18.0
2020-05-01,23.0
2020-06-01,32.0
2020-07-01,21.0
2020-08-01,12.0
2020-09-01,18.0
2020-10-01,9.0
2020-11-01,16.0
2020-12-01,44.0
2021-01-01,21.0
2021-02-01,18.0
2021-03-01,9.0
2021-04-01,12.0
2021-05-01,14.0
2021-06-01,14.0
2021-07-01,1.0
2021-08-01,8.0
2021-09-01,7.0
2021-10-01,22.0
2021-11-01,18.0
2021-12-01,7.0
2022-01-01,13.0
2022-02-01,25.0
2022-03-01,30.0
2022-04-01,12.0
2022-05-01,9.0
2022-06-01,9.0
2022-07-01,4.0
2022-08-01,6.0
2022-09-01,8.0
2022-10-01,7.0
2022-11-01,6.0
2022-12-01,0.0
2023-01-01,11.0
2023-02-01,6.0
2023-03-01,15.0
2023-04-01,13.0
2023-05-01,5.0
2023-06-01,20.0
2023-07-01,5.0
2023-08-01,13.0
2023-09-01,10.0
2023-10-01,5.0
2023-11-01,19.0
2023-12-01,4.0
2024-01-01,4.0
2024-02-01,13.0
2024-03-01,12.0
2024-04-01,27.0
2024-05-01,7.0
2024-06-01,15.0
2024-07-01,4.0
2024-08-01,6.0
2024-09-01,8.0
2024-10-01,14.0
2024-11-01,2.0
2024-12-01,7.0
2025-01-01,12.0
2025-02-01,1.0
2025-03-01,14.0
2025-04-01,22.0
2025-05-01,5.0
2025-06-01,12.0
2025-07-01,92.0
