,n_commits
2012-05-01,113
2012-06-01,167
2012-07-01,88
2012-08-01,31
2012-09-01,100
2012-10-01,40
2012-11-01,24
2012-12-01,5
2013-01-01,14
2013-02-01,12
2013-03-01,8
2013-04-01,5
2013-05-01,2
2013-06-01,16
2013-07-01,4
2013-08-01,4
2013-09-01,0
2013-10-01,10
2013-11-01,7
2013-12-01,6
2014-01-01,1
2014-02-01,6
2014-03-01,6
2014-04-01,1
2014-05-01,0
2014-06-01,2
2014-07-01,1
2014-08-01,3
2014-09-01,6
2014-10-01,3
2014-11-01,4
2014-12-01,0
2015-01-01,0
2015-02-01,1
2015-03-01,1
2015-04-01,6
2015-05-01,4
2015-06-01,8
2015-07-01,1
2015-08-01,1
2015-09-01,4
2015-10-01,4
2015-11-01,0
2015-12-01,0
2016-01-01,9
2016-02-01,6
2016-03-01,4
2016-04-01,9
2016-05-01,13
2016-06-01,4
2016-07-01,1
2016-08-01,3
2016-09-01,1
2016-10-01,6
2016-11-01,0
2016-12-01,9
2017-01-01,1
2017-02-01,0
2017-03-01,4
2017-04-01,0
2017-05-01,1
2017-06-01,3
2017-07-01,8
2017-08-01,7
2017-09-01,0
2017-10-01,6
2017-11-01,2
2017-12-01,4
2018-01-01,1
2018-02-01,8
2018-03-01,0
2018-04-01,0
2018-05-01,2
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,1
2018-10-01,0
2018-11-01,3
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,3
2019-05-01,3
2019-06-01,2
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,1
