,n_commits
2013-06-01,197
2013-07-01,123
2013-08-01,48
2013-09-01,2
2013-10-01,19
2013-11-01,14
2013-12-01,89
2014-01-01,64
2014-02-01,83
2014-03-01,36
2014-04-01,9
2014-05-01,9
2014-06-01,38
2014-07-01,0
2014-08-01,386
2014-09-01,29
2014-10-01,52
2014-11-01,57
2014-12-01,98
2015-01-01,180
2015-02-01,132
2015-03-01,137
2015-04-01,16
2015-05-01,9
2015-06-01,23
2015-07-01,0
2015-08-01,2
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,5
2016-01-01,0
2016-02-01,6
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,36
2016-07-01,388
2016-08-01,43
2016-09-01,0
2016-10-01,5
2016-11-01,0
2016-12-01,32
2017-01-01,4
2017-02-01,0
2017-03-01,2
2017-04-01,4
2017-05-01,0
2017-06-01,1
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,1
