,n_commits
2015-01-01,11
2015-02-01,1
2015-03-01,10
2015-04-01,8
2015-05-01,16
2015-06-01,14
2015-07-01,18
2015-08-01,6
2015-09-01,9
2015-10-01,20
2015-11-01,16
2015-12-01,18
2016-01-01,10
2016-02-01,21
2016-03-01,7
2016-04-01,23
2016-05-01,4
2016-06-01,9
2016-07-01,1
2016-08-01,11
2016-09-01,9
2016-10-01,16
2016-11-01,0
2016-12-01,4
2017-01-01,4
2017-02-01,15
2017-03-01,5
2017-04-01,11
2017-05-01,5
2017-06-01,3
2017-07-01,40
2017-08-01,16
2017-09-01,0
2017-10-01,7
2017-11-01,14
2017-12-01,3
2018-01-01,10
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,9
2018-06-01,2
2018-07-01,0
2018-08-01,7
2018-09-01,0
2018-10-01,2
2018-11-01,2
2018-12-01,0
2019-01-01,1
2019-02-01,5
2019-03-01,0
2019-04-01,3
2019-05-01,0
2019-06-01,3
2019-07-01,30
2019-08-01,27
2019-09-01,11
2019-10-01,3
2019-11-01,0
2019-12-01,3
2020-01-01,48
2020-02-01,62
2020-03-01,8
2020-04-01,8
2020-05-01,5
2020-06-01,16
2020-07-01,4
2020-08-01,0
2020-09-01,4
2020-10-01,5
2020-11-01,2
2020-12-01,4
2021-01-01,1
2021-02-01,2
2021-03-01,8
2021-04-01,15
2021-05-01,1
2021-06-01,0
2021-07-01,3
2021-08-01,0
2021-09-01,0
2021-10-01,1
2021-11-01,0
2021-12-01,3
2022-01-01,0
2022-02-01,10
2022-03-01,2
2022-04-01,4
2022-05-01,4
2022-06-01,0
2022-07-01,5
2022-08-01,3
2022-09-01,3
2022-10-01,0
2022-11-01,0
2022-12-01,3
2023-01-01,1
2023-02-01,0
2023-03-01,4
2023-04-01,0
2023-05-01,0
2023-06-01,0
2023-07-01,4
2023-08-01,0
2023-09-01,0
2023-10-01,0
2023-11-01,0
2023-12-01,2
2024-01-01,3
2024-02-01,5
2024-03-01,0
2024-04-01,0
2024-05-01,2
2024-06-01,2
2024-07-01,0
2024-08-01,2
2024-09-01,0
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,0
2025-05-01,1
2025-06-01,4
2025-07-01,6
