,n_commits
2009-10-01,42
2009-11-01,29
2009-12-01,35
2010-01-01,18
2010-02-01,46
2010-03-01,7
2010-04-01,2
2010-05-01,0
2010-06-01,5
2010-07-01,5
2010-08-01,6
2010-09-01,9
2010-10-01,27
2010-11-01,17
2010-12-01,22
2011-01-01,9
2011-02-01,14
2011-03-01,16
2011-04-01,17
2011-05-01,19
2011-06-01,6
2011-07-01,31
2011-08-01,11
2011-09-01,7
2011-10-01,71
2011-11-01,25
2011-12-01,30
2012-01-01,44
2012-02-01,16
2012-03-01,37
2012-04-01,60
2012-05-01,35
2012-06-01,15
2012-07-01,4
2012-08-01,47
2012-09-01,77
2012-10-01,17
2012-11-01,15
2012-12-01,48
2013-01-01,14
2013-02-01,21
2013-03-01,20
2013-04-01,31
2013-05-01,14
2013-06-01,12
2013-07-01,64
2013-08-01,17
2013-09-01,20
2013-10-01,5
2013-11-01,33
2013-12-01,8
2014-01-01,41
2014-02-01,96
2014-03-01,55
2014-04-01,52
2014-05-01,39
2014-06-01,85
2014-07-01,54
2014-08-01,59
2014-09-01,59
2014-10-01,24
2014-11-01,20
2014-12-01,39
2015-01-01,29
2015-02-01,98
2015-03-01,18
2015-04-01,34
2015-05-01,31
2015-06-01,8
2015-07-01,22
2015-08-01,17
2015-09-01,10
2015-10-01,15
2015-11-01,39
2015-12-01,40
2016-01-01,30
2016-02-01,6
2016-03-01,36
2016-04-01,27
2016-05-01,2
2016-06-01,3
2016-07-01,10
2016-08-01,2
2016-09-01,0
2016-10-01,58
2016-11-01,12
2016-12-01,4
2017-01-01,4
2017-02-01,9
2017-03-01,2
2017-04-01,0
2017-05-01,5
2017-06-01,0
2017-07-01,0
2017-08-01,11
2017-09-01,0
2017-10-01,1
2017-11-01,7
2017-12-01,0
2018-01-01,0
2018-02-01,3
2018-03-01,1
2018-04-01,16
2018-05-01,14
2018-06-01,5
2018-07-01,0
2018-08-01,0
2018-09-01,1
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,2
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,2
2020-01-01,4
2020-02-01,4
2020-03-01,45
2020-04-01,12
2020-05-01,20
2020-06-01,30
2020-07-01,19
2020-08-01,32
2020-09-01,19
2020-10-01,26
2020-11-01,6
2020-12-01,9
2021-01-01,0
2021-02-01,1
2021-03-01,46
2021-04-01,16
2021-05-01,3
2021-06-01,0
2021-07-01,5
2021-08-01,2
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,19
2022-01-01,0
2022-02-01,0
2022-03-01,1
2022-04-01,21
2022-05-01,2
2022-06-01,4
2022-07-01,0
2022-08-01,0
2022-09-01,23
2022-10-01,0
2022-11-01,4
2022-12-01,0
2023-01-01,0
2023-02-01,0
2023-03-01,0
2023-04-01,0
2023-05-01,0
2023-06-01,0
2023-07-01,0
2023-08-01,0
2023-09-01,3
2023-10-01,0
2023-11-01,0
2023-12-01,0
2024-01-01,0
2024-02-01,0
2024-03-01,3
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,14
2024-08-01,0
2024-09-01,0
2024-10-01,3
