,n_commits
2010-10-01,114
2010-11-01,351
2010-12-01,355
2011-01-01,394
2011-02-01,93
2011-03-01,334
2011-04-01,63
2011-05-01,10
2011-06-01,14
2011-07-01,13
2011-08-01,28
2011-09-01,15
2011-10-01,26
2011-11-01,4
2011-12-01,10
2012-01-01,1
2012-02-01,0
2012-03-01,0
2012-04-01,7
2012-05-01,18
2012-06-01,6
2012-07-01,7
2012-08-01,3
2012-09-01,7
2012-10-01,8
2012-11-01,3
2012-12-01,1
2013-01-01,17
2013-02-01,6
2013-03-01,4
2013-04-01,6
2013-05-01,21
2013-06-01,8
2013-07-01,3
2013-08-01,6
2013-09-01,13
2013-10-01,9
2013-11-01,7
2013-12-01,10
2014-01-01,1
2014-02-01,2
2014-03-01,1
2014-04-01,1
2014-05-01,6
2014-06-01,12
2014-07-01,9
2014-08-01,0
2014-09-01,2
2014-10-01,0
2014-11-01,0
2014-12-01,0
2015-01-01,5
2015-02-01,1
2015-03-01,1
2015-04-01,0
2015-05-01,4
2015-06-01,0
2015-07-01,1
2015-08-01,1
2015-09-01,0
2015-10-01,3
2015-11-01,4
2015-12-01,0
2016-01-01,1
2016-02-01,4
2016-03-01,1
2016-04-01,5
2016-05-01,2
2016-06-01,1
2016-07-01,1
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,2
2017-02-01,3
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,1
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,1
2018-02-01,0
2018-03-01,0
2018-04-01,4
2018-05-01,0
2018-06-01,0
2018-07-01,4
2018-08-01,2
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,8
2019-01-01,0
2019-02-01,2
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,4
