,n_commits
2014-11-01,63
2014-12-01,18
2015-01-01,35
2015-02-01,1
2015-03-01,22
2015-04-01,15
2015-05-01,9
2015-06-01,21
2015-07-01,37
2015-08-01,13
2015-09-01,2
2015-10-01,5
2015-11-01,1
2015-12-01,7
2016-01-01,5
2016-02-01,31
2016-03-01,9
2016-04-01,8
2016-05-01,118
2016-06-01,136
2016-07-01,55
2016-08-01,21
2016-09-01,17
2016-10-01,30
2016-11-01,18
2016-12-01,25
2017-01-01,2
2017-02-01,20
2017-03-01,49
2017-04-01,25
2017-05-01,63
2017-06-01,35
2017-07-01,52
2017-08-01,34
2017-09-01,36
2017-10-01,88
2017-11-01,117
2017-12-01,11
2018-01-01,12
2018-02-01,9
2018-03-01,6
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,3
2018-10-01,1
2018-11-01,6
2018-12-01,0
2019-01-01,0
2019-02-01,3
2019-03-01,5
2019-04-01,19
2019-05-01,12
2019-06-01,48
2019-07-01,85
2019-08-01,27
2019-09-01,16
2019-10-01,82
2019-11-01,16
2019-12-01,0
2020-01-01,0
2020-02-01,24
2020-03-01,8
2020-04-01,37
2020-05-01,24
2020-06-01,0
2020-07-01,5
2020-08-01,3
2020-09-01,2
2020-10-01,12
2020-11-01,8
2020-12-01,0
2021-01-01,3
2021-02-01,6
2021-03-01,8
2021-04-01,3
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,2
2021-12-01,2
2022-01-01,3
2022-02-01,2
2022-03-01,4
2022-04-01,7
2022-05-01,1
2022-06-01,9
2022-07-01,0
2022-08-01,0
2022-09-01,0
2022-10-01,0
2022-11-01,0
2022-12-01,2
2023-01-01,0
2023-02-01,7
2023-03-01,11
2023-04-01,0
2023-05-01,0
2023-06-01,0
2023-07-01,4
2023-08-01,0
2023-09-01,0
2023-10-01,2
2023-11-01,0
2023-12-01,0
2024-01-01,0
2024-02-01,0
2024-03-01,4
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,0
2024-08-01,0
2024-09-01,0
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,2
2025-05-01,0
2025-06-01,12
2025-07-01,2
2025-08-01,2
