,n_commits
2015-06-01,136
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,4
2015-12-01,10
2016-01-01,45
2016-02-01,17
2016-03-01,3
2016-04-01,3
2016-05-01,2
2016-06-01,0
2016-07-01,2
2016-08-01,0
2016-09-01,0
2016-10-01,4
2016-11-01,42
2016-12-01,99
2017-01-01,35
2017-02-01,1
2017-03-01,50
2017-04-01,55
2017-05-01,82
2017-06-01,11
2017-07-01,3
2017-08-01,1
2017-09-01,6
2017-10-01,8
2017-11-01,6
2017-12-01,19
2018-01-01,32
2018-02-01,26
2018-03-01,22
2018-04-01,9
2018-05-01,5
2018-06-01,12
2018-07-01,7
2018-08-01,4
2018-09-01,7
2018-10-01,4
2018-11-01,14
2018-12-01,4
2019-01-01,3
2019-02-01,6
2019-03-01,23
2019-04-01,65
2019-05-01,47
2019-06-01,23
2019-07-01,13
2019-08-01,25
2019-09-01,44
2019-10-01,37
2019-11-01,11
2019-12-01,12
2020-01-01,27
2020-02-01,36
2020-03-01,15
2020-04-01,14
2020-05-01,9
2020-06-01,11
2020-07-01,10
2020-08-01,8
2020-09-01,5
2020-10-01,21
2020-11-01,12
2020-12-01,1
2021-01-01,17
2021-02-01,4
2021-03-01,1
2021-04-01,3
2021-05-01,12
2021-06-01,13
2021-07-01,2
2021-08-01,2
2021-09-01,6
2021-10-01,8
2021-11-01,4
2021-12-01,1
2022-01-01,1
2022-02-01,1
2022-03-01,3
2022-04-01,20
2022-05-01,9
2022-06-01,0
2022-07-01,1
2022-08-01,0
2022-09-01,2
2022-10-01,5
2022-11-01,30
2022-12-01,12
2023-01-01,3
2023-02-01,0
2023-03-01,2
2023-04-01,3
2023-05-01,2
2023-06-01,5
2023-07-01,4
2023-08-01,1
2023-09-01,2
2023-10-01,2
2023-11-01,3
2023-12-01,8
2024-01-01,1
2024-02-01,1
2024-03-01,2
2024-04-01,3
2024-05-01,0
2024-06-01,5
2024-07-01,1
2024-08-01,0
2024-09-01,4
2024-10-01,4
2024-11-01,5
2024-12-01,3
2025-01-01,3
2025-02-01,5
2025-03-01,1
2025-04-01,0
2025-05-01,4
2025-06-01,2
2025-07-01,0
2025-08-01,3
