,jquery/jquery,angular/angular,facebook/react
2015-01-19,1.4232927786499214,0.16328492935635788,0.7325451334379907
2015-01-20,-0.4517072213500785,6.917749215070644,2.8419201334379913
2015-01-21,-0.1481357927786499,2.826231357927787,9.326295133437991
2015-01-22,0.10186420722135005,11.042749215070643,15.748170133437991
2015-01-23,0.4234301412872842,3.8488961930926218,11.580759419152276
2015-01-24,0.34650706436420725,6.064280808477237,5.073067111459968
2015-01-25,1.3047488226059656,7.1368082810047095,6.697242935635793
2015-01-26,0.42329277864992154,1.1632849293563579,4.73254513343799
2015-01-27,-0.4517072213500785,4.917749215070644,38.841920133437995
2015-01-28,-0.1481357927786499,2.826231357927787,7.32629513343799
2015-01-29,5.10186420722135,0.042749215070643665,-2.2518298665620096
2015-01-30,3.4234301412872843,-1.1511038069073782,5.580759419152276
2015-01-31,0.34650706436420725,5.064280808477237,14.073067111459968
2015-02-01,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-02-02,-0.5767072213500785,0.16328492935635788,19.73254513343799
2015-02-03,-0.4517072213500785,-4.082250784929356,8.841920133437991
2015-02-04,0.85186420722135,-2.173768642072213,9.326295133437991
2015-02-05,2.1018642072213503,19.042749215070643,8.748170133437991
2015-02-06,0.4234301412872842,14.84889619309262,13.580759419152276
2015-02-07,0.34650706436420725,9.064280808477237,5.073067111459968
2015-02-08,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-02-09,-0.5767072213500785,2.163284929356358,11.732545133437991
2015-02-10,0.5482927786499214,4.917749215070644,5.841920133437991
2015-02-11,1.85186420722135,3.826231357927787,6.32629513343799
2015-02-12,0.10186420722135005,0.042749215070643665,10.748170133437991
2015-02-13,0.4234301412872842,3.8488961930926218,9.580759419152276
2015-02-14,6.346507064364207,8.064280808477237,11.073067111459968
2015-02-15,0.30474882260596553,10.13680828100471,5.697242935635793
2015-02-16,-0.5767072213500785,2.163284929356358,1.7325451334379907
2015-02-17,0.5482927786499214,10.917749215070643,16.84192013343799
2015-02-18,-0.1481357927786499,12.826231357927787,6.32629513343799
2015-02-19,3.1018642072213503,7.042749215070644,17.74817013343799
2015-02-20,0.4234301412872842,3.8488961930926218,19.580759419152276
2015-02-21,0.34650706436420725,14.064280808477237,5.073067111459968
2015-02-22,0.30474882260596553,7.1368082810047095,16.697242935635792
2015-02-23,-0.5767072213500785,4.163284929356358,2.7325451334379904
2015-02-24,-0.4517072213500785,1.9177492150706437,7.841920133437991
2015-02-25,-0.1481357927786499,10.826231357927787,-0.6737048665620096
2015-02-26,0.10186420722135005,23.042749215070643,5.74817013343799
2015-02-27,0.4234301412872842,2.8488961930926218,4.580759419152276
2015-02-28,0.34650706436420725,8.064280808477237,6.073067111459968
2015-03-01,0.30474882260596553,7.1368082810047095,7.697242935635793
2015-03-02,-0.5767072213500785,10.163284929356358,9.732545133437991
2015-03-03,-0.4517072213500785,3.9177492150706437,11.841920133437991
2015-03-04,1.85186420722135,-0.1737686420722131,0.32629513343799044
2015-03-05,1.10186420722135,-1.9572507849293563,5.74817013343799
2015-03-06,0.4234301412872842,-2.1511038069073782,8.580759419152276
2015-03-07,0.34650706436420725,7.064280808477237,4.073067111459968
2015-03-08,2.3047488226059656,7.1368082810047095,6.697242935635793
2015-03-09,1.4232927786499214,4.163284929356358,6.73254513343799
2015-03-10,-0.4517072213500785,1.9177492150706437,43.841920133437995
2015-03-11,-0.1481357927786499,5.826231357927787,66.326295133438
2015-03-12,0.10186420722135005,5.042749215070644,0.7481701334379904
2015-03-13,0.4234301412872842,15.84889619309262,4.580759419152276
2015-03-14,0.34650706436420725,10.064280808477237,15.073067111459968
2015-03-15,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-03-16,2.4232927786499214,2.163284929356358,20.73254513343799
2015-03-17,1.5482927786499214,7.917749215070644,10.841920133437991
2015-03-18,-0.1481357927786499,12.826231357927787,-0.6737048665620096
2015-03-19,0.10186420722135005,12.042749215070643,4.74817013343799
2015-03-20,1.4234301412872843,-1.1511038069073782,6.580759419152276
2015-03-21,0.34650706436420725,19.064280808477235,5.073067111459968
2015-03-22,0.30474882260596553,9.13680828100471,5.697242935635793
2015-03-23,0.42329277864992154,4.163284929356358,9.732545133437991
2015-03-24,0.5482927786499214,9.917749215070643,10.841920133437991
2015-03-25,1.85186420722135,1.826231357927787,22.32629513343799
2015-03-26,1.10186420722135,15.042749215070643,18.74817013343799
2015-03-27,0.4234301412872842,9.84889619309262,9.580759419152276
2015-03-28,1.3465070643642072,10.064280808477237,9.073067111459968
2015-03-29,0.30474882260596553,7.1368082810047095,7.697242935635793
2015-03-30,3.4232927786499214,2.163284929356358,14.732545133437991
2015-03-31,-0.4517072213500785,6.917749215070644,2.8419201334379913
2015-04-01,-0.1481357927786499,8.826231357927787,11.326295133437991
2015-04-02,0.10186420722135005,15.042749215070643,11.748170133437991
2015-04-03,0.4234301412872842,6.848896193092622,1.5807594191522765
2015-04-04,0.34650706436420725,8.064280808477237,4.073067111459968
2015-04-05,0.30474882260596553,7.1368082810047095,11.697242935635792
2015-04-06,-0.5767072213500785,8.163284929356358,-0.26745486656200934
2015-04-07,-0.4517072213500785,1.9177492150706437,5.841920133437991
2015-04-08,-0.1481357927786499,5.826231357927787,16.32629513343799
2015-04-09,0.10186420722135005,2.0427492150706437,15.748170133437991
2015-04-10,0.4234301412872842,30.84889619309262,6.580759419152276
2015-04-11,0.34650706436420725,11.064280808477237,4.073067111459968
2015-04-12,0.30474882260596553,8.13680828100471,4.697242935635793
2015-04-13,2.4232927786499214,24.163284929356358,7.73254513343799
2015-04-14,-0.4517072213500785,12.917749215070643,1.8419201334379913
2015-04-15,-0.1481357927786499,7.826231357927787,-0.6737048665620096
2015-04-16,0.10186420722135005,23.042749215070643,0.7481701334379904
2015-04-17,0.4234301412872842,14.84889619309262,6.580759419152276
2015-04-18,0.34650706436420725,11.064280808477237,11.073067111459968
2015-04-19,0.30474882260596553,7.1368082810047095,6.697242935635793
2015-04-20,0.42329277864992154,15.163284929356358,7.73254513343799
2015-04-21,-0.4517072213500785,11.917749215070643,0.8419201334379913
2015-04-22,0.85186420722135,-0.1737686420722131,8.326295133437991
2015-04-23,0.10186420722135005,4.042749215070644,-0.25182986656200956
2015-04-24,0.4234301412872842,1.8488961930926218,4.580759419152276
2015-04-25,0.34650706436420725,7.064280808477237,5.073067111459968
2015-04-26,0.30474882260596553,7.1368082810047095,8.697242935635792
2015-04-27,2.4232927786499214,29.163284929356358,7.73254513343799
2015-04-28,-0.4517072213500785,19.917749215070643,3.8419201334379913
2015-04-29,0.85186420722135,11.826231357927787,8.326295133437991
2015-04-30,2.1018642072213503,5.042749215070644,0.7481701334379904
2015-05-01,0.4234301412872842,10.84889619309262,4.580759419152276
2015-05-02,0.34650706436420725,5.064280808477237,6.073067111459968
2015-05-03,6.304748822605966,7.1368082810047095,6.697242935635793
2015-05-04,3.4232927786499214,8.163284929356358,5.73254513343799
2015-05-05,9.548292778649921,2.9177492150706437,6.841920133437991
2015-05-06,-0.1481357927786499,15.826231357927787,-1.6737048665620096
2015-05-07,1.10186420722135,18.042749215070643,4.74817013343799
2015-05-08,0.4234301412872842,28.84889619309262,6.580759419152276
2015-05-09,0.34650706436420725,7.064280808477237,3.0730671114599684
2015-05-10,0.30474882260596553,9.13680828100471,6.697242935635793
2015-05-11,1.4232927786499214,15.163284929356358,5.73254513343799
2015-05-12,6.548292778649921,23.917749215070643,0.8419201334379913
2015-05-13,0.85186420722135,15.826231357927787,10.326295133437991
2015-05-14,0.10186420722135005,9.042749215070643,4.74817013343799
2015-05-15,0.4234301412872842,5.848896193092622,1.5807594191522765
2015-05-16,0.34650706436420725,7.064280808477237,15.073067111459968
2015-05-17,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-05-18,-0.5767072213500785,24.163284929356358,3.7325451334379904
2015-05-19,2.5482927786499214,38.91774921507064,3.8419201334379913
2015-05-20,-0.1481357927786499,25.82623135792779,7.32629513343799
2015-05-21,0.10186420722135005,7.042749215070644,4.74817013343799
2015-05-22,0.4234301412872842,29.84889619309262,15.580759419152276
2015-05-23,0.34650706436420725,10.064280808477237,3.0730671114599684
2015-05-24,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-05-25,-0.5767072213500785,0.16328492935635788,-0.26745486656200934
2015-05-26,-0.4517072213500785,3.9177492150706437,0.8419201334379913
2015-05-27,-0.1481357927786499,15.826231357927787,4.32629513343799
2015-05-28,0.10186420722135005,17.042749215070643,3.7481701334379904
2015-05-29,3.4234301412872843,20.84889619309262,2.5807594191522765
2015-05-30,0.34650706436420725,12.064280808477237,4.073067111459968
2015-05-31,0.30474882260596553,7.1368082810047095,6.697242935635793
2015-06-01,3.4232927786499214,10.163284929356358,7.73254513343799
2015-06-02,-0.4517072213500785,28.917749215070643,9.841920133437991
2015-06-03,-0.1481357927786499,17.82623135792779,1.3262951334379904
2015-06-04,0.10186420722135005,15.042749215070643,24.74817013343799
2015-06-05,1.4234301412872843,14.84889619309262,7.580759419152276
2015-06-06,0.34650706436420725,7.064280808477237,5.073067111459968
2015-06-07,0.30474882260596553,8.13680828100471,6.697242935635793
2015-06-08,-0.5767072213500785,14.163284929356358,14.732545133437991
2015-06-09,-0.4517072213500785,19.917749215070643,4.841920133437991
2015-06-10,-0.1481357927786499,15.826231357927787,8.326295133437991
2015-06-11,1.10186420722135,20.042749215070643,10.748170133437991
2015-06-12,0.4234301412872842,24.84889619309262,7.580759419152276
2015-06-13,7.346507064364207,11.064280808477237,8.073067111459968
2015-06-14,0.30474882260596553,13.13680828100471,5.697242935635793
2015-06-15,-0.5767072213500785,16.163284929356358,10.732545133437991
2015-06-16,5.548292778649921,16.917749215070643,10.841920133437991
2015-06-17,1.85186420722135,11.826231357927787,13.326295133437991
2015-06-18,0.10186420722135005,8.042749215070643,8.748170133437991
2015-06-19,1.4234301412872843,13.84889619309262,3.5807594191522765
2015-06-20,0.34650706436420725,11.064280808477237,5.073067111459968
2015-06-21,0.30474882260596553,8.13680828100471,6.697242935635793
2015-06-22,0.42329277864992154,7.163284929356358,12.732545133437991
2015-06-23,0.5482927786499214,1.9177492150706437,0.8419201334379913
2015-06-24,-0.1481357927786499,12.826231357927787,12.326295133437991
2015-06-25,1.10186420722135,7.042749215070644,5.74817013343799
2015-06-26,0.4234301412872842,12.84889619309262,9.580759419152276
2015-06-27,3.346507064364207,5.064280808477237,10.073067111459968
2015-06-28,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-06-29,-0.5767072213500785,22.163284929356358,7.73254513343799
2015-06-30,-0.4517072213500785,3.9177492150706437,2.8419201334379913
2015-07-01,0.85186420722135,17.82623135792779,1.3262951334379904
2015-07-02,0.10186420722135005,1.0427492150706437,14.748170133437991
2015-07-03,0.4234301412872842,5.848896193092622,7.580759419152276
2015-07-04,0.34650706436420725,5.064280808477237,11.073067111459968
2015-07-05,0.30474882260596553,7.1368082810047095,12.697242935635792
2015-07-06,0.42329277864992154,7.163284929356358,5.73254513343799
2015-07-07,0.5482927786499214,11.917749215070643,3.8419201334379913
2015-07-08,2.8518642072213503,25.82623135792779,7.32629513343799
2015-07-09,0.10186420722135005,10.042749215070643,20.74817013343799
2015-07-10,0.4234301412872842,5.848896193092622,10.580759419152276
2015-07-11,1.3465070643642072,9.064280808477237,11.073067111459968
2015-07-12,1.3047488226059656,11.13680828100471,9.697242935635792
2015-07-13,0.42329277864992154,9.163284929356358,12.732545133437991
2015-07-14,0.5482927786499214,5.917749215070644,2.8419201334379913
2015-07-15,-0.1481357927786499,12.826231357927787,6.32629513343799
2015-07-16,0.10186420722135005,15.042749215070643,1.7481701334379904
2015-07-17,0.4234301412872842,12.84889619309262,13.580759419152276
2015-07-18,0.34650706436420725,5.064280808477237,5.073067111459968
2015-07-19,0.30474882260596553,7.1368082810047095,6.697242935635793
2015-07-20,1.4232927786499214,7.163284929356358,8.732545133437991
2015-07-21,-0.4517072213500785,2.9177492150706437,11.841920133437991
2015-07-22,-0.1481357927786499,8.826231357927787,5.32629513343799
2015-07-23,0.10186420722135005,12.042749215070643,10.748170133437991
2015-07-24,0.4234301412872842,15.84889619309262,7.580759419152276
2015-07-25,0.34650706436420725,9.064280808477237,7.073067111459968
2015-07-26,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-07-27,2.4232927786499214,13.163284929356358,10.732545133437991
2015-07-28,1.5482927786499214,13.917749215070643,4.841920133437991
2015-07-29,-0.1481357927786499,9.826231357927787,2.3262951334379904
2015-07-30,2.1018642072213503,9.042749215070643,3.7481701334379904
2015-07-31,0.4234301412872842,20.84889619309262,6.580759419152276
2015-08-01,0.34650706436420725,5.064280808477237,8.073067111459968
2015-08-02,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-08-03,1.4232927786499214,10.163284929356358,5.73254513343799
2015-08-04,-0.4517072213500785,9.917749215070643,0.8419201334379913
2015-08-05,-0.1481357927786499,-0.1737686420722131,0.32629513343799044
2015-08-06,0.10186420722135005,2.0427492150706437,8.748170133437991
2015-08-07,0.4234301412872842,10.84889619309262,4.580759419152276
2015-08-08,0.34650706436420725,7.064280808477237,8.073067111459968
2015-08-09,0.30474882260596553,9.13680828100471,5.697242935635793
2015-08-10,0.42329277864992154,10.163284929356358,5.73254513343799
2015-08-11,-0.4517072213500785,2.9177492150706437,11.841920133437991
2015-08-12,-0.1481357927786499,10.826231357927787,8.326295133437991
2015-08-13,0.10186420722135005,10.042749215070643,5.74817013343799
2015-08-14,0.4234301412872842,2.8488961930926218,12.580759419152276
2015-08-15,0.34650706436420725,8.064280808477237,5.073067111459968
2015-08-16,2.3047488226059656,8.13680828100471,4.697242935635793
2015-08-17,-0.5767072213500785,7.163284929356358,6.73254513343799
2015-08-18,-0.4517072213500785,11.917749215070643,-0.15807986656200868
2015-08-19,-0.1481357927786499,21.82623135792779,13.326295133437991
2015-08-20,0.10186420722135005,12.042749215070643,9.748170133437991
2015-08-21,0.4234301412872842,7.848896193092622,5.580759419152276
2015-08-22,0.34650706436420725,7.064280808477237,16.07306711145997
2015-08-23,0.30474882260596553,17.13680828100471,4.697242935635793
2015-08-24,-0.5767072213500785,11.163284929356358,2.7325451334379904
2015-08-25,-0.4517072213500785,8.917749215070643,2.8419201334379913
2015-08-26,-0.1481357927786499,0.8262313579277869,-1.6737048665620096
2015-08-27,0.10186420722135005,7.042749215070644,-1.2518298665620096
2015-08-28,0.4234301412872842,7.848896193092622,8.580759419152276
2015-08-29,0.34650706436420725,5.064280808477237,7.073067111459968
2015-08-30,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-08-31,-0.5767072213500785,24.163284929356358,4.73254513343799
2015-09-01,-0.4517072213500785,5.917749215070644,15.841920133437991
2015-09-02,-0.1481357927786499,1.826231357927787,1.3262951334379904
2015-09-03,0.10186420722135005,10.042749215070643,4.74817013343799
2015-09-04,0.4234301412872842,11.84889619309262,8.580759419152276
2015-09-05,0.34650706436420725,18.064280808477235,6.073067111459968
2015-09-06,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-09-07,11.423292778649921,0.16328492935635788,-0.26745486656200934
2015-09-08,14.548292778649921,1.9177492150706437,2.8419201334379913
2015-09-09,-0.1481357927786499,9.826231357927787,23.32629513343799
2015-09-10,0.10186420722135005,6.042749215070644,12.748170133437991
2015-09-11,2.4234301412872843,33.84889619309262,0.5807594191522765
2015-09-12,0.34650706436420725,12.064280808477237,6.073067111459968
2015-09-13,0.30474882260596553,9.13680828100471,6.697242935635793
2015-09-14,3.4232927786499214,13.163284929356358,10.732545133437991
2015-09-15,-0.4517072213500785,26.917749215070643,3.8419201334379913
2015-09-16,-0.1481357927786499,12.826231357927787,7.32629513343799
2015-09-17,0.10186420722135005,14.042749215070643,-0.25182986656200956
2015-09-18,0.4234301412872842,2.8488961930926218,3.5807594191522765
2015-09-19,0.34650706436420725,6.064280808477237,7.073067111459968
2015-09-20,0.30474882260596553,10.13680828100471,7.697242935635793
2015-09-21,-0.5767072213500785,13.163284929356358,-0.26745486656200934
2015-09-22,-0.4517072213500785,8.917749215070643,10.841920133437991
2015-09-23,-0.1481357927786499,15.826231357927787,8.326295133437991
2015-09-24,0.10186420722135005,9.042749215070643,16.74817013343799
2015-09-25,0.4234301412872842,12.84889619309262,14.580759419152276
2015-09-26,0.34650706436420725,5.064280808477237,15.073067111459968
2015-09-27,0.30474882260596553,8.13680828100471,8.697242935635792
2015-09-28,-0.5767072213500785,3.163284929356358,6.73254513343799
2015-09-29,-0.4517072213500785,5.917749215070644,-1.1580798665620087
2015-09-30,-0.1481357927786499,0.8262313579277869,9.326295133437991
2015-10-01,0.10186420722135005,7.042749215070644,18.74817013343799
2015-10-02,0.4234301412872842,18.84889619309262,4.580759419152276
2015-10-03,0.34650706436420725,26.064280808477235,5.073067111459968
2015-10-04,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-10-05,-0.5767072213500785,10.163284929356358,2.7325451334379904
2015-10-06,-0.4517072213500785,13.917749215070643,6.841920133437991
2015-10-07,-0.1481357927786499,16.82623135792779,27.32629513343799
2015-10-08,0.10186420722135005,15.042749215070643,13.748170133437991
2015-10-09,2.4234301412872843,9.84889619309262,21.580759419152276
2015-10-10,0.34650706436420725,12.064280808477237,8.073067111459968
2015-10-11,0.30474882260596553,15.13680828100471,8.697242935635792
2015-10-12,11.423292778649921,6.163284929356358,13.732545133437991
2015-10-13,0.5482927786499214,17.917749215070643,12.841920133437991
2015-10-14,-0.1481357927786499,3.826231357927787,8.326295133437991
2015-10-15,0.10186420722135005,16.042749215070643,6.74817013343799
2015-10-16,0.4234301412872842,-1.1511038069073782,11.580759419152276
2015-10-17,3.346507064364207,5.064280808477237,5.073067111459968
2015-10-18,14.304748822605966,10.13680828100471,7.697242935635793
2015-10-19,-0.5767072213500785,4.163284929356358,10.732545133437991
2015-10-20,0.5482927786499214,-1.0822507849293563,-1.1580798665620087
2015-10-21,1.85186420722135,4.826231357927787,4.32629513343799
2015-10-22,0.10186420722135005,-1.9572507849293563,-2.2518298665620096
2015-10-23,1.4234301412872843,-1.1511038069073782,8.580759419152276
2015-10-24,0.34650706436420725,5.064280808477237,11.073067111459968
2015-10-25,1.3047488226059656,7.1368082810047095,4.697242935635793
2015-10-26,0.42329277864992154,16.163284929356358,11.732545133437991
2015-10-27,-0.4517072213500785,28.917749215070643,5.841920133437991
2015-10-28,-0.1481357927786499,31.82623135792779,2.3262951334379904
2015-10-29,2.1018642072213503,38.04274921507064,11.748170133437991
2015-10-30,4.423430141287284,9.84889619309262,20.580759419152276
2015-10-31,0.34650706436420725,8.064280808477237,9.073067111459968
2015-11-01,0.30474882260596553,10.13680828100471,6.697242935635793
2015-11-02,0.42329277864992154,9.163284929356358,7.73254513343799
2015-11-03,0.5482927786499214,11.917749215070643,9.841920133437991
2015-11-04,1.85186420722135,3.826231357927787,20.32629513343799
2015-11-05,3.1018642072213503,20.042749215070643,20.74817013343799
2015-11-06,2.4234301412872843,10.84889619309262,-0.4192405808477236
2015-11-07,2.346507064364207,10.064280808477237,4.073067111459968
2015-11-08,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-11-09,1.4232927786499214,5.163284929356358,6.73254513343799
2015-11-10,2.5482927786499214,1.9177492150706437,7.841920133437991
2015-11-11,0.85186420722135,2.826231357927787,0.32629513343799044
2015-11-12,2.1018642072213503,6.042749215070644,9.748170133437991
2015-11-13,1.4234301412872843,11.84889619309262,0.5807594191522765
2015-11-14,0.34650706436420725,8.064280808477237,4.073067111459968
2015-11-15,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-11-16,0.42329277864992154,11.163284929356358,2.7325451334379904
2015-11-17,1.5482927786499214,7.917749215070644,2.8419201334379913
2015-11-18,-0.1481357927786499,7.826231357927787,8.326295133437991
2015-11-19,1.10186420722135,2.0427492150706437,9.748170133437991
2015-11-20,0.4234301412872842,3.8488961930926218,5.580759419152276
2015-11-21,0.34650706436420725,5.064280808477237,4.073067111459968
2015-11-22,0.30474882260596553,7.1368082810047095,5.697242935635793
2015-11-23,-0.5767072213500785,17.163284929356358,3.7325451334379904
2015-11-24,-0.4517072213500785,3.9177492150706437,2.8419201334379913
2015-11-25,-0.1481357927786499,6.826231357927787,2.3262951334379904
2015-11-26,0.10186420722135005,-2.9572507849293563,0.7481701334379904
2015-11-27,0.4234301412872842,-3.1511038069073782,0.5807594191522765
2015-11-28,0.34650706436420725,5.064280808477237,7.073067111459968
2015-11-29,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-11-30,-0.5767072213500785,11.163284929356358,2.7325451334379904
2015-12-01,0.5482927786499214,9.917749215070643,3.8419201334379913
2015-12-02,1.85186420722135,18.82623135792779,2.3262951334379904
2015-12-03,1.10186420722135,16.042749215070643,2.7481701334379904
2015-12-04,0.4234301412872842,6.848896193092622,9.580759419152276
2015-12-05,0.34650706436420725,9.064280808477237,4.073067111459968
2015-12-06,0.30474882260596553,7.1368082810047095,7.697242935635793
2015-12-07,-0.5767072213500785,5.163284929356358,0.7325451334379907
2015-12-08,-0.4517072213500785,16.917749215070643,-2.1580798665620087
2015-12-09,-0.1481357927786499,19.82623135792779,-1.6737048665620096
2015-12-10,0.10186420722135005,33.04274921507064,3.7481701334379904
2015-12-11,0.4234301412872842,13.84889619309262,5.580759419152276
2015-12-12,0.34650706436420725,9.064280808477237,3.0730671114599684
2015-12-13,0.30474882260596553,9.13680828100471,8.697242935635792
2015-12-14,-0.5767072213500785,9.163284929356358,5.73254513343799
2015-12-15,-0.4517072213500785,32.91774921507064,1.8419201334379913
2015-12-16,-0.1481357927786499,-1.173768642072213,5.32629513343799
2015-12-17,0.10186420722135005,1.0427492150706437,2.7481701334379904
2015-12-18,0.4234301412872842,0.8488961930926218,8.580759419152276
2015-12-19,0.34650706436420725,5.064280808477237,3.0730671114599684
2015-12-20,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-12-21,-0.5767072213500785,1.1632849293563579,17.73254513343799
2015-12-22,-0.4517072213500785,-4.082250784929356,13.841920133437991
2015-12-23,-0.1481357927786499,0.8262313579277869,8.326295133437991
2015-12-24,0.10186420722135005,-1.9572507849293563,4.74817013343799
2015-12-25,0.4234301412872842,-3.1511038069073782,3.5807594191522765
2015-12-26,0.34650706436420725,5.064280808477237,4.073067111459968
2015-12-27,0.30474882260596553,7.1368082810047095,4.697242935635793
2015-12-28,-0.5767072213500785,1.1632849293563579,-0.26745486656200934
2015-12-29,-0.4517072213500785,-4.082250784929356,12.841920133437991
2015-12-30,-0.1481357927786499,-2.173768642072213,-1.6737048665620096
2015-12-31,0.10186420722135005,-2.9572507849293563,-2.2518298665620096
2016-01-01,0.4234301412872842,-3.1511038069073782,-0.4192405808477236
2016-01-02,0.34650706436420725,5.064280808477237,4.073067111459968
2016-01-03,0.30474882260596553,7.1368082810047095,5.697242935635793
2016-01-04,-0.5767072213500785,5.163284929356358,1.7325451334379907
2016-01-05,-0.4517072213500785,-2.0822507849293563,5.841920133437991
2016-01-06,-0.1481357927786499,-1.173768642072213,-0.6737048665620096
2016-01-07,3.1018642072213503,-2.9572507849293563,5.74817013343799
2016-01-08,0.4234301412872842,-0.15110380690737824,2.5807594191522765
2016-01-09,0.34650706436420725,7.064280808477237,8.073067111459968
2016-01-10,0.30474882260596553,7.1368082810047095,4.697242935635793
2016-01-11,1.4232927786499214,1.1632849293563579,4.73254513343799
2016-01-12,-0.4517072213500785,-1.0822507849293563,11.841920133437991
2016-01-13,9.85186420722135,1.826231357927787,1.3262951334379904
2016-01-14,3.1018642072213503,0.042749215070643665,1.7481701334379904
