,n_commits
2018-06-01,5
2018-07-01,7
2018-08-01,4
2018-09-01,6
2018-10-01,1
2018-11-01,10
2018-12-01,9
2019-01-01,2
2019-02-01,5
2019-03-01,12
2019-04-01,7
2019-05-01,34
2019-06-01,22
2019-07-01,30
2019-08-01,11
2019-09-01,13
2019-10-01,11
2019-11-01,11
2019-12-01,28
2020-01-01,82
2020-02-01,24
2020-03-01,28
2020-04-01,9
2020-05-01,12
2020-06-01,23
2020-07-01,8
2020-08-01,18
2020-09-01,10
2020-10-01,10
2020-11-01,16
2020-12-01,20
2021-01-01,29
2021-02-01,22
2021-03-01,21
2021-04-01,1
2021-05-01,8
2021-06-01,29
2021-07-01,14
2021-08-01,21
2021-09-01,8
2021-10-01,29
2021-11-01,9
2021-12-01,4
2022-01-01,21
2022-02-01,25
2022-03-01,19
2022-04-01,25
2022-05-01,28
2022-06-01,8
2022-07-01,5
2022-08-01,25
2022-09-01,12
2022-10-01,17
2022-11-01,5
2022-12-01,14
2023-01-01,31
2023-02-01,42
2023-03-01,11
2023-04-01,10
2023-05-01,33
2023-06-01,24
2023-07-01,18
2023-08-01,12
2023-09-01,4
2023-10-01,1
2023-11-01,13
2023-12-01,5
2024-01-01,10
2024-02-01,4
2024-03-01,9
2024-04-01,5
2024-05-01,13
2024-06-01,5
2024-07-01,3
2024-08-01,10
2024-09-01,12
2024-10-01,4
2024-11-01,2
2024-12-01,9
2025-01-01,6
2025-02-01,12
2025-03-01,3
2025-04-01,2
2025-05-01,2
2025-06-01,3
2025-07-01,2
2025-08-01,4
