,n_commits
2015-07-01,23
2015-08-01,4
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,8
2016-03-01,0
2016-04-01,0
2016-05-01,1
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,23
2016-11-01,6
2016-12-01,12
2017-01-01,21
2017-02-01,5
2017-03-01,4
2017-04-01,4
2017-05-01,1
2017-06-01,1
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,2
2017-11-01,4
2017-12-01,11
2018-01-01,8
2018-02-01,7
2018-03-01,22
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,3
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,1
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,60
2019-05-01,12
2019-06-01,7
2019-07-01,18
2019-08-01,10
2019-09-01,2
2019-10-01,10
2019-11-01,15
2019-12-01,21
2020-01-01,19
2020-02-01,7
2020-03-01,39
2020-04-01,14
2020-05-01,23
2020-06-01,19
2020-07-01,3
2020-08-01,8
2020-09-01,1
2020-10-01,4
2020-11-01,2
2020-12-01,17
2021-01-01,30
2021-02-01,5
2021-03-01,14
2021-04-01,26
2021-05-01,2
2021-06-01,11
2021-07-01,3
2021-08-01,1
2021-09-01,4
2021-10-01,3
2021-11-01,12
2021-12-01,5
2022-01-01,8
2022-02-01,1
2022-03-01,1
2022-04-01,4
2022-05-01,2
2022-06-01,2
2022-07-01,4
2022-08-01,6
2022-09-01,5
2022-10-01,8
2022-11-01,3
2022-12-01,2
2023-01-01,5
2023-02-01,1
2023-03-01,2
2023-04-01,7
2023-05-01,1
2023-06-01,0
2023-07-01,1
2023-08-01,6
2023-09-01,10
2023-10-01,6
2023-11-01,10
2023-12-01,2
