Target,Competitor1,Competitor2,REV,Competitors_in_README
chainer/chainer,tensorflow/tensorflow,pytorch/pytorch,1,"pytorch/pytorch"
voldemort/voldemort,apache/cassandra,linkedin/venice,1,"linkedin/venice"
spring-attic/spring-security-oauth,spring-projects/spring-security,spring-projects/spring-authorization-server,1,"spring-projects/spring-security,spring-projects/spring-authorization-server"
koush/androidasync,androidx/androidx,koush/ion,1,"koush/ion"
stephanenicolas/robospice,square/retrofit,google/volley,1,"square/retrofit,google/volley"
square/keywhiz,hashicorp/vault,lyft/confidant,1,"hashicorp/vault"
torch/torch7,pytorch/pytorch,chainer/chainer,1,"pytorch/pytorch"
omab/django-social-auth,pennersr/django-allauth,omab/python-social-auth,1,"omab/python-social-auth"
midgetspy/sick-beard,sickchill/sickchill,Sonarr/Sonarr,1,"Sonarr/Sonarr"
fizyr/keras-retinanet,pytorch/vision,facebookresearch/detectron2,1,"pytorch/vision"
bizz84/swiftystorekit,RevenueCat/purchases-ios,apphud/ApphudSDK,1,"RevenueCat/purchases-ios,apphud/ApphudSDK"
johncoates/aerial,OrangeJedi/Aerial,graysky2/xscreensaver-aerial,1,"OrangeJedi/Aerial,graysky2/xscreensaver-aerial"
facebook/xctool,facebook/xcbuild,xcpretty/xcpretty,1,"facebook/xcbuild,xcpretty/xcpretty"
tekezo/karabiner,pqrs-org/karabiner-elements,hammerspoon/hammerspoon,1,"pqrs-org/karabiner-elements"
sass/libsass,sass/dart-sass,sass/sassc,1,"sass/dart-sass,sass/sassc"
amrayn/easyloggingpp,gabime/spdlog,google/glog,1,"gabime/spdlog"
cocos2d/cocos2d-x,defold/defold,cocos/cocos-engine,1,"cocos/cocos-engine"
overviewer/minecraft-overviewer,webbukkit/dynmap,BlueMap-Minecraft/BlueMap,1,"BlueMap-Minecraft/BlueMap"
tensorflow/tensor2tensor,huggingface/transformers,google/trax,1,"google/trax"
sass/node-sass,stylus/stylus,sass/dart-sass,1,"sass/dart-sass"
ripple/rippled,stellar/stellar-core,XRPLF/clio,1,"XRPLF/clio"
hill-a/stable-baselines,ray-project/ray,DLR-RM/stable-baselines3,1,"DLR-RM/stable-baselines3"
