,n_commits
2013-07-01,48
2013-08-01,39
2013-09-01,23
2013-10-01,9
2013-11-01,1
2013-12-01,0
2014-01-01,0
2014-02-01,28
2014-03-01,24
2014-04-01,8
2014-05-01,5
2014-06-01,7
2014-07-01,3
2014-08-01,0
2014-09-01,11
2014-10-01,2
2014-11-01,0
2014-12-01,6
2015-01-01,11
2015-02-01,0
2015-03-01,2
2015-04-01,3
2015-05-01,2
2015-06-01,3
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,4
2016-01-01,2
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,1
2017-07-01,1
2017-08-01,0
2017-09-01,3
